,antecedents,consequents
0,frozenset({1697}),frozenset({1698})
1,frozenset({1698}),frozenset({1697})
2,frozenset({1697}),frozenset({70509})
3,frozenset({70509}),frozenset({1697})
4,frozenset({1697}),frozenset({88411})
5,frozenset({88411}),frozenset({1697})
6,frozenset({1698}),frozenset({1708})
7,frozenset({1708}),frozenset({1698})
8,frozenset({1698}),frozenset({23004})
9,frozenset({23004}),frozenset({1698})
10,frozenset({1698}),frozenset({70509})
11,frozenset({70509}),frozenset({1698})
12,frozenset({1698}),frozenset({88411})
13,frozenset({88411}),frozenset({1698})
14,frozenset({1698}),frozenset({88444})
15,frozenset({88444}),frozenset({1698})
16,frozenset({1707}),frozenset({70509})
17,frozenset({70509}),frozenset({1707})
18,frozenset({23004}),frozenset({1708})
19,frozenset({1708}),frozenset({23004})
20,frozenset({70449}),frozenset({1708})
21,frozenset({1708}),frozenset({70449})
22,frozenset({1708}),frozenset({70509})
23,frozenset({70509}),frozenset({1708})
24,frozenset({88411}),frozenset({1708})
25,frozenset({1708}),frozenset({88411})
26,frozenset({88444}),frozenset({1708})
27,frozenset({1708}),frozenset({88444})
28,frozenset({70448}),frozenset({1754})
29,frozenset({1754}),frozenset({70448})
30,frozenset({88411}),frozenset({1755})
31,frozenset({1755}),frozenset({88411})
32,frozenset({23004}),frozenset({70509})
33,frozenset({70509}),frozenset({23004})
34,frozenset({88411}),frozenset({23004})
35,frozenset({23004}),frozenset({88411})
36,frozenset({70072}),frozenset({70415})
37,frozenset({70415}),frozenset({70072})
38,frozenset({87945}),frozenset({70447})
39,frozenset({70447}),frozenset({87945})
40,frozenset({70448}),frozenset({70509})
41,frozenset({70509}),frozenset({70448})
42,frozenset({70449}),frozenset({70450})
43,frozenset({70450}),frozenset({70449})
44,frozenset({70449}),frozenset({70509})
45,frozenset({70509}),frozenset({70449})
46,frozenset({70449}),frozenset({4709595})
47,frozenset({4709595}),frozenset({70449})
48,frozenset({70509}),frozenset({87118})
49,frozenset({87118}),frozenset({70509})
50,frozenset({88411}),frozenset({70509})
51,frozenset({70509}),frozenset({88411})
52,frozenset({88444}),frozenset({70509})
53,frozenset({70509}),frozenset({88444})
54,frozenset({70509}),frozenset({88623})
55,frozenset({88623}),frozenset({70509})
56,frozenset({88676}),frozenset({70509})
57,frozenset({70509}),frozenset({88676})
58,frozenset({135492}),frozenset({70509})
59,frozenset({70509}),frozenset({135492})
60,frozenset({135493}),frozenset({70509})
61,frozenset({70509}),frozenset({135493})
62,frozenset({70509}),frozenset({135789})
63,frozenset({135789}),frozenset({70509})
64,frozenset({3336149}),frozenset({70509})
65,frozenset({70509}),frozenset({3336149})
66,frozenset({88411}),frozenset({88443})
67,frozenset({88443}),frozenset({88411})
68,frozenset({88411}),frozenset({88623})
69,frozenset({88623}),frozenset({88411})
70,frozenset({88411}),frozenset({88676})
71,frozenset({88676}),frozenset({88411})
72,frozenset({88411}),frozenset({135492})
73,frozenset({135492}),frozenset({88411})
74,frozenset({88411}),frozenset({135493})
75,frozenset({135493}),frozenset({88411})
76,frozenset({88411}),frozenset({135789})
77,frozenset({135789}),frozenset({88411})
78,frozenset({88411}),frozenset({3336149})
79,frozenset({3336149}),frozenset({88411})
80,frozenset({88622}),frozenset({88623})
81,frozenset({88623}),frozenset({88622})
82,frozenset({88676}),frozenset({135493})
83,frozenset({135493}),frozenset({88676})
84,frozenset({15157064}),frozenset({14481833})
85,frozenset({14481833}),frozenset({15157064})
86,frozenset({14671860}),frozenset({14980086})
87,frozenset({14980086}),frozenset({14671860})
88,frozenset({14671860}),frozenset({15192100})
89,frozenset({15192100}),frozenset({14671860})
90,frozenset({14675955}),frozenset({15192100})
91,frozenset({15192100}),frozenset({14675955})
92,frozenset({14760944}),frozenset({14752201})
93,frozenset({14752201}),frozenset({14760944})
94,frozenset({14790248}),frozenset({14782215})
95,frozenset({14782215}),frozenset({14790248})
96,frozenset({14790248}),frozenset({14929876})
97,frozenset({14929876}),frozenset({14790248})
98,frozenset({14876857}),frozenset({14870535})
99,frozenset({14870535}),frozenset({14876857})
100,frozenset({15192100}),frozenset({14980086})
101,frozenset({14980086}),frozenset({15192100})
102,frozenset({15194056}),frozenset({15192100})
103,frozenset({15192100}),frozenset({15194056})
104,frozenset({15286972}),frozenset({15280990})
105,frozenset({15280990}),frozenset({15286972})
106,"frozenset({1697, 88411})",frozenset({70509})
107,"frozenset({1697, 70509})",frozenset({88411})
108,"frozenset({88411, 70509})",frozenset({1697})
109,frozenset({1697}),"frozenset({88411, 70509})"
110,frozenset({88411}),"frozenset({1697, 70509})"
111,frozenset({70509}),"frozenset({1697, 88411})"
112,"frozenset({1698, 23004})",frozenset({70509})
113,"frozenset({1698, 70509})",frozenset({23004})
114,"frozenset({23004, 70509})",frozenset({1698})
115,frozenset({1698}),"frozenset({23004, 70509})"
116,frozenset({23004}),"frozenset({1698, 70509})"
117,frozenset({70509}),"frozenset({1698, 23004})"
118,"frozenset({1698, 88411})",frozenset({70509})
119,"frozenset({1698, 70509})",frozenset({88411})
120,"frozenset({88411, 70509})",frozenset({1698})
121,frozenset({1698}),"frozenset({88411, 70509})"
122,frozenset({88411}),"frozenset({1698, 70509})"
123,frozenset({70509}),"frozenset({1698, 88411})"
124,"frozenset({1708, 88444})",frozenset({70509})
125,"frozenset({88444, 70509})",frozenset({1708})
126,"frozenset({1708, 70509})",frozenset({88444})
127,frozenset({88444}),"frozenset({1708, 70509})"
128,frozenset({1708}),"frozenset({88444, 70509})"
129,frozenset({70509}),"frozenset({1708, 88444})"
130,"frozenset({88411, 135493})",frozenset({70509})
131,"frozenset({88411, 70509})",frozenset({135493})
132,"frozenset({135493, 70509})",frozenset({88411})
133,frozenset({88411}),"frozenset({135493, 70509})"
134,frozenset({135493}),"frozenset({88411, 70509})"
135,frozenset({70509}),"frozenset({88411, 135493})"
136,"frozenset({88411, 3336149})",frozenset({70509})
137,"frozenset({3336149, 70509})",frozenset({88411})
138,"frozenset({88411, 70509})",frozenset({3336149})
139,frozenset({3336149}),"frozenset({88411, 70509})"
140,frozenset({88411}),"frozenset({3336149, 70509})"
141,frozenset({70509}),"frozenset({88411, 3336149})"
